Date, Open, High, Low, Close, Volume
06/28/19, 100.74, 101.45, 99.23, 101.26, 5185192
06/27/19, 97.67, 99.68, 96.845, 99.14, 2907748
06/26/19, 97.51, 98.04, 95.62, 97.32, 2827051
06/25/19, 98.77, 99.11, 96.08, 96.90, 3364203
06/24/19, 95.66, 99.56, 95.23, 99.00, 5066835
06/21/19, 92.98, 95.98, 91.399, 95.33, 6237433
06/20/19, 93.75, 94.89, 93.07, 93.19, 2578264
06/19/19, 92.39, 93.18, 91.32, 92.58, 2795310
06/18/19, 93.48, 95.30, 91.94, 92.03, 3955867
06/17/19, 92.62, 93.51, 92.00, 92.44, 2431950
06/14/19, 93.56, 93.79, 90.46, 92.73, 3297391
06/13/19, 92.92, 94.34, 92.41, 93.57, 2526846
06/12/19, 94.80, 94.9601, 91.72, 92.67, 2579225
06/11/19, 96.38, 96.50, 94.25, 94.58, 2097828
06/10/19, 98.00, 98.13, 94.05, 95.51, 2503249
06/07/19, 97.00, 98.69, 96.57, 96.99, 2021498
06/06/19, 95.96, 97.38, 95.06, 96.39, 2654213
06/05/19, 93.69, 95.99, 93.69, 95.25, 2584353
06/04/19, 91.59, 94.21, 90.19, 94.13, 2833472
06/03/19, 93.29, 94.2365, 90.78, 91.31, 3405405
05/31/19, 90.90, 93.28, 90.89, 93.08, 2818733
05/30/19, 92.74, 93.04, 91.50, 92.13, 2513477
05/29/19, 92.76, 93.81, 91.81, 92.55, 1889406
05/28/19, 92.98, 94.21, 92.6377, 93.50, 2729288
05/24/19, 92.67, 93.31, 91.485, 92.31, 2262634
05/23/19, 93.34, 94.74, 91.36, 92.11, 3072471
05/22/19, 94.84, 95.60, 93.63, 93.84, 1831462
05/21/19, 93.40, 96.25, 93.25, 95.65, 3958210
05/20/19, 95.44, 96.00, 92.31, 92.69, 3842911
05/17/19, 98.26, 98.95, 96.65, 97.26, 3031453
05/16/19, 96.74, 99.05, 96.11, 99.00, 3728643
05/15/19, 93.80, 98.32, 93.6624, 96.77, 4694707
05/14/19, 90.92, 95.52, 90.75, 94.57, 5769319
05/13/19, 92.01, 93.12, 89.91, 90.42, 3685460
05/10/19, 93.03, 94.16, 91.01, 93.88, 3979135
05/09/19, 92.52, 94.24, 92.20, 93.32, 5159057
05/08/19, 99.11, 99.57, 92.18, 93.88, 17468500
05/07/19, 93.11, 93.40, 91.83, 92.73, 7090922
05/06/19, 91.10, 93.985, 90.52, 93.76, 4413673
05/03/19, 93.70, 93.88, 90.70, 92.50, 6385830
05/02/19, 95.25, 96.33, 93.89, 94.40, 3609504
05/01/19, 95.01, 97.20, 94.74, 94.86, 4264341
04/30/19, 94.49, 95.08, 93.80, 94.65, 2824595
04/29/19, 94.89, 95.59, 94.15, 94.73, 3122574
04/26/19, 93.46, 94.58, 92.82, 94.47, 3496275
04/25/19, 94.15, 94.20, 92.675, 92.98, 2993048
04/24/19, 94.90, 95.28, 93.87, 94.15, 3041453
04/23/19, 93.10, 94.96, 92.84, 94.63, 3850762
04/22/19, 92.75, 93.04, 91.88, 92.52, 3011254
04/18/19, 92.07, 93.58, 91.10, 93.14, 4262167
04/17/19, 94.46, 94.46, 91.00, 91.95, 9779037
04/16/19, 97.41, 97.50, 92.80, 93.83, 7638941
04/15/19, 100.55, 100.99, 97.12, 97.85, 3965643
04/12/19, 101.13, 102.39, 100.32, 101.83, 2375867
04/11/19, 100.00, 101.40, 99.63, 100.58, 2530518
04/10/19, 98.58, 100.35, 98.38, 99.63, 2199499
04/09/19, 97.54, 99.15, 97.3975, 98.25, 2543247
04/08/19, 99.01, 99.42, 95.66, 97.95, 3951412
04/05/19, 98.50, 99.885, 97.96, 99.43, 3737973
04/04/19, 99.99, 100.30, 97.59, 97.94, 4308700
04/03/19, 100.91, 102.16, 100.07, 100.15, 3522844
04/02/19, 103.01, 103.10, 100.16, 100.84, 3157478
04/01/19, 103.03, 103.95, 101.62, 102.67, 2879586
03/29/19, 102.65, 102.9675, 101.24, 101.63, 3180841
03/28/19, 100.71, 102.47, 100.28, 102.20, 2347131
03/27/19, 102.70, 102.86, 100.28, 100.67, 2900802
03/26/19, 102.66, 104.55, 101.50, 102.32, 4059325
03/25/19, 102.40, 103.5428, 100.87, 101.73, 3812422
03/22/19, 104.43, 104.48, 101.155, 102.34, 7159188
03/21/19, 96.49, 105.00, 96.49, 104.88, 9533430
03/20/19, 97.44, 98.39, 96.35, 97.03, 4824238
03/19/19, 100.33, 100.545, 97.00, 97.51, 6156778
03/18/19, 99.16, 99.89, 96.73, 99.66, 5112965
03/15/19, 99.66, 100.145, 98.24, 98.98, 5140900
03/14/19, 100.22, 100.34, 97.54, 98.83, 5908938
03/13/19, 98.69, 101.08, 97.77, 100.13, 6979996
03/12/19, 99.40, 99.50, 98.15, 98.59, 3737617
03/11/19, 98.60, 99.96, 97.94, 99.04, 4623846
03/08/19, 97.96, 99.75, 97.475, 98.36, 7357914
03/07/19, 95.00, 99.56, 94.47, 99.36, 8866789
03/06/19, 95.32, 96.38, 94.13, 94.77, 3987900
03/05/19, 96.26, 97.06, 95.1479, 95.72, 6041906
03/04/19, 98.31, 99.43, 95.57, 97.29, 7187191
03/01/19, 96.83, 97.94, 95.31, 97.41, 4443555
02/28/19, 97.96, 98.64, 95.665, 95.78, 5695040
02/27/19, 98.82, 100.81, 97.40, 97.84, 5207571
02/26/19, 95.65, 99.61, 94.82, 98.50, 8701117
02/25/19, 96.32, 96.63, 93.64, 95.86, 7046593
02/22/19, 97.06, 97.31, 92.85, 95.92, 11616970
02/21/19, 98.77, 98.99, 96.00, 96.86, 8104311
02/20/19, 102.43, 102.91, 97.55, 98.63, 10649060
02/19/19, 105.75, 105.75, 101.29, 102.96, 10882720
02/15/19, 107.40, 108.80, 104.73, 106.84, 11254940
02/14/19, 101.41, 105.87, 101.00, 105.25, 10547010
02/13/19, 104.56, 105.24, 100.68, 102.25, 15890020
02/12/19, 106.31, 106.70, 99.02, 102.33, 31161270
02/11/19, 102.16, 106.95, 96.73, 97.24, 38704500
02/08/19, 86.505, 97.65, 85.00, 97.60, 26898539
02/07/19, 79.90, 85.59, 79.90, 84.10, 11391300
02/06/19, 79.14, 81.59, 78.00, 80.21, 30198570
02/05/19, 89.06, 92.85, 88.89, 92.52, 11931370
02/04/19, 91.06, 91.07, 88.19, 88.43, 5982459
02/01/19, 92.20, 92.80, 90.83, 91.22, 2890254
01/31/19, 89.98, 92.80, 89.55, 92.24, 4148221
01/30/19, 87.62, 89.27, 86.85, 89.23, 3797870
01/29/19, 89.89, 89.89, 86.82, 87.24, 3961361
01/28/19, 89.45, 90.65, 88.65, 90.47, 4339507
01/25/19, 92.45, 92.98, 90.87, 91.74, 4168627
01/24/19, 89.36, 91.55, 88.53, 91.48, 3167912
01/23/19, 91.93, 92.00, 88.44, 89.13, 4085955
01/22/19, 91.68, 91.99, 90.01, 91.31, 4474677
01/18/19, 90.31, 93.16, 90.23, 92.52, 5403618
01/17/19, 87.95, 89.85, 87.65, 89.31, 4283301
01/16/19, 88.00, 90.09, 85.96, 89.92, 6613145
01/15/19, 88.96, 89.58, 88.37, 89.49, 2794651
01/14/19, 89.62, 89.98, 88.42, 88.58, 3351586
01/11/19, 90.67, 91.59, 89.91, 90.70, 3757614
01/10/19, 88.79, 91.44, 88.52, 91.01, 4745577
01/09/19, 89.81, 90.99, 87.89, 88.91, 4178767
01/08/19, 88.46, 89.74, 87.69, 89.02, 6468299
01/07/19, 84.89, 88.10, 83.44, 87.59, 6611453
01/04/19, 80.82, 85.25, 80.04, 84.42, 7254381
01/03/19, 79.45, 80.35, 77.62, 78.71, 3747137
01/02/19, 77.22, 80.64, 77.20, 80.37, 3176781
12/31/18, 80.00, 80.38, 78.30, 78.91, 2942411
12/28/18, 79.96, 80.29, 78.30, 79.30, 2733635
12/27/18, 77.11, 79.46, 76.76, 79.43, 4260992
12/26/18, 75.20, 77.95, 73.91, 77.89, 3257300
12/24/18, 75.76, 77.40, 74.38, 74.72, 2556888
12/21/18, 78.30, 79.46, 75.63, 76.57, 7829935
12/20/18, 77.68, 79.39, 76.46, 77.44, 5567654
12/19/18, 80.03, 81.22, 77.341, 78.36, 6417012
12/18/18, 79.68, 81.795, 79.38, 80.00, 6191119
12/17/18, 80.14, 82.02, 78.48, 79.23, 4083459
12/14/18, 79.82, 81.95, 79.1401, 80.16, 5227573
12/13/18, 83.91, 83.935, 80.78, 80.86, 5011120
12/12/18, 84.32, 85.37, 82.91, 82.99, 3400512
12/11/18, 85.12, 85.3163, 82.73, 83.44, 3877038
12/10/18, 82.34, 84.60, 82.2989, 83.73, 3888391
12/07/18, 83.78, 85.14, 82.22, 82.52, 4589061
12/06/18, 79.94, 83.88, 79.50, 83.88, 5747509
12/04/18, 83.44, 84.89, 81.00, 81.18, 5129536
12/03/18, 85.81, 86.64, 83.34, 84.00, 5052203
11/30/18, 86.31, 86.83, 83.73, 84.07, 5395519
11/29/18, 85.09, 87.24, 84.63, 86.39, 3527304
